8,37,43,-51,-13,-3,36,29,-49,-37,24,-49,-4,-45,4,-6,
-15,17,6,-16,0,38,-59,5,39,29,-22,39,-6,-22,-14,23,
-29,-25,-53,48,33,21,-58,-21,30,21,7,73,63,-10,6,23,
5,-49,-33,-8,42,53,-48,-45,-24,28,10,52,4,-53,28,-32,
64,-42,21,-48,37,22,-6,-7,-49,31,74,-10,-56,-11,37,-44,
21,-38,43,77,-12,72,-5,53,23,43,48,-50,-30,54,0,-24,
6,-28,84,70,-45,20,-32,0,60,56,-28,-44,29,80,-55,18,
-59,-65,-10,24,29,-12,-28,-16,-4,44,-49,-59,45,68,-29,43,
-45,-75,-14,4,35,0,-32,-1,-60,28,-52,1,33,-13,41,29,
21,-53,-52,50,20,-28,-40,-19,11,51,-47,63,-16,-15,72,27,
36,-26,-68,-16,3,-72,0,-30,49,36,33,29,-87,-26,7,9,
48,-7,1,4,10,-37,-34,20,12,27,24,15,-11,-7,-51,-30,
0,-5,22,60,25,-33,0,40,-59,89,77,7,32,-2,-49,-72,
-53,-4,70,28,0,-60,-25,-6,-7,69,16,-44,53,17,-10,-11,
-52,10,30,-31,3,-84,-25,-67,34,-7,-67,-48,19,-14,37,-15,
-19,49,23,7,-31,-74,-2,7,31,60,-56,-28,-51,-9,68,42,
43,26,-1,-13,53,-64,-5,43,-26,20,-36,1,-72,0,8,64,
71,45,-72,-35,29,-55,-24,17,-15,24,-43,12,10,16,-61,2,
1,35,-82,-33,17,-26,-12,-45,29,59,49,13,52,48,-58,-3,
-16,20,-26,-16,6,-42,-11,-52,8,54,20,9,34,12,39,-58,
-61,43,54,-53,13,-26,-31,40,-41,31,14,7,-10,-26,38,-26,
-56,52,86,-64,54,0,-47,60,25,52,-38,7,-50,-12,-9,-30,
41,44,61,-38,-23,-15,0,-54,76,23,-22,-23,-47,-56,3,28,
109,2,-37,-67,-10,21,-30,1,-16,18,-6,-32,8,-71,-40,46,
-18,-9,-34,-61,-6,76,-26,43,-78,94,46,-38,67,18,-39,39,
-46,-8,-59,-65,4,59,-21,-55,29,58,51,-42,47,51,38,26,
-45,-49,-52,-43,20,43,0,-48,54,28,14,-17,-55,56,55,-47,
4,-58,-1,-31,83,26,-36,58,-11,53,-14,27,-78,86,12,-55,
8,-27,48,-30,15,54,-50,64,-29,42,-44,45,0,22,-66,-30,
55,-8,33,-6,-40,12,-30,-74,-16,31,-35,5,89,-71,-11,-32,
30,-31,36,-2,-41,55,-7,-26,17,33,29,8,22,-68,16,39,
-29,-66,-23,-36,27,21,-2,27,17,70,40,-50,-41,-45,11,44,
-72,-17,-23,-31,-2,-38,-35,20,-13,31,21,-16,26,13,-7,42,
-16,10,-36,47,-35,6,-18,25,-20,0,11,2,26,-19,-4,-9,
38,-17,18,34,4,-13,-32,-29,34,34,33,-23,-21,16,-13,7,
18,-2,0,15,-16,-29,15,-6,23,-15,1,-4,-21,6,7,-16,
-20,-34,-1,17,6,8,27,4,-5,8,-38,23,-6,-12,0,18,
0,-21,29,-13,22,-12,6,2,-36,0,-25,-15,1,5,51,9,
17,-5,8,15,9,-7,-32,-21,11,53,-4,-27,1,18,10,-28,
1,-1,-7,42,-14,2,-6,15,-3,11,27,7,0,22,11,19,